en,ne,pos,description
access,पहुँच,noun,
accessibility,सर्वसुगमता,noun,
accordion,अकोर्डियन,noun,
account,खाता,noun,
activation,सक्रियकरण,noun,
active,सक्रिय,noun,
add,थप्नु,verb,"थप गर्नु  is also correct. But we are using थप्नु for consistency."
admin,"प्रशासक, व्यवस्थापक",noun,
administration,प्रशासन,noun,
administrative,"प्रशासनिक , प्रशासकीय",adjective,
administrator,प्रशासक,adjective,
allocate,"निर्धारण गर्नु, विनियोजन गर्नु",verb,
allocation,निर्धारण,noun,
alphanumeric,अल्फान्युमेरिक,noun,
amber,अम्बर,adjective,
analytics,एनालिटिक्स,noun,
anchor,एङ्कर,noun,
Apache,अपाचे,noun,
API,एपिआई,noun,
application,एप्लिकेसन,noun,
apply,"लागू गर्नु",verb,
approve,"स्वीकृत गर्नु",verb,
approved,स्वीकृत,adjective,
archive,अभिलेख,noun,"संग्रह, सङ्ग्रह are also correct but use अभिलेख for consistency."
archive,"सङ्ग्रहित गर्नु",verb,
argument,आर्गुमेन्ट,noun,
Array,एरे,noun,
arrow,वाण,noun,"बाण is also correct but use वाण for consistency."
assigned,"तोकिएको, निर्दिष्ट",adjective,
associated,सम्बद्ध,adjective,
attribute,विशेषता,noun,
audio,अडियो,noun,
authentication,प्रमाणीकरण,noun,
authorization,प्राधिकरण,noun,
auto-update,"स्वत: अपडेट",noun,
automatic,स्वचालित,adjective,
back,पछाडि,noun,
backend,ब्याकइन्ड,noun,
background,पृष्ठभूमि,noun,
backup,"जगेडा, ब्याकअप",noun,
"backward compatibility",पश्चानुकुलता,adjective,
block,"ब्लक ",noun,
blockquote,उद्धरण,noun,
blue,निलो,adjective,
border,सीमा,noun,
"brand new","बिल्कुल नयाँ",adjective,
breadcrumb,ब्रेडक्रम,noun,
brown,खैरो,adjective,
built-in,अन्तरनिर्मित,adjective,
bulk,एकमुस्ट,noun,
button,बटन,noun,
calendar,क्यालेन्डर,noun,
capability,क्षमता,noun,
caption,क्याप्सन,noun,
category,वर्ग,noun,
chat,च्याट,noun,
checklist,जाँचसूची,noun,
"child theme","चाइल्ड थिम",noun,
choose,"छान्नु, छनोट गर्नु",verb,
color,"रङ्ग, रंग",noun,
column,कोलम,noun,
command,कमान्ड,noun,
comment,टिप्पणी,noun,"प्रतिक्रिया is not correct. response = प्रतिक्रिया"
comment,"टिप्पणी गर्नु",verb,
commercial,व्यावसायिक,noun,
communication,सञ्चार,noun,
compatibility,अनुकूलता,noun,
compatible,अनुकूल,adjective,
configuration,कन्फिगरेसन,noun,
configure,"कन्फिगर गर्नु",verb,
confirm,"पुष्टि गर्नु",verb,
confirmation,पुष्टीकरण,noun,
confirmed,पुष्टीकृत,adjective,
connection,जडान,noun,
content,सामग्री,noun,
control,"कन्ट्रोल, नियन्त्रण",noun,
cookie,कुकी,noun,
coordinate,निर्देशाङ्क,noun,"Eg: map coordinates = नक्सा निर्देशाङ्कहरू"
coordinate,"समन्वय गर्नु",verb,
coordinator,संयोजक,adjective,
copy,"कपी गर्नु, प्रतिलिपि गर्नु",verb,
copy,"कपी, प्रतिलिपि",noun,
cover,कभर,noun,
create,"सिर्जना गर्नु",verb,"सृजना गर्नु is also correct but we are not using it here due to consistency."
crop,"काँटछाँट गर्नु, क्रप गर्नु",verb,
crop,"काँटछाँट, क्रप",noun,
CSS,सिएसएस,noun,
current,"हाल, वर्तमान",noun,
custom,कस्टम,noun,
Customize,कस्टमाइज,verb,
Customizer,कस्टमाइजर,noun,
cyan,सायान,adjective,रङ्ग
database,डाटाबेस,noun,
date,मिति,noun,
decode,असङ्केतन,noun,
default,पूर्वनिर्धारित,noun,
delete,मेटाउनु,verb,"Do no confuse with remove."
deprecated,बहिष्कृत,noun,
description,विवरण,noun,
developer,डेभलपर,noun,
dialog,डाइलग,noun,
digit,अङ्क,noun,
directory,डाइरेक्टरी,noun,
disable,"अक्षम गर्नु",verb,
"distraction free","विकर्षण मुक्त",noun,
document,डकुमेन्ट,noun,
documentation,दस्तावेज,noun,
download,डाउनलोड,noun,
draft,ड्राफ्ट,noun,
duotone,डुओटोन,noun,
dusk,पीतसूर्य,adjective,
edit,"सम्पादन गर्नु",verb,
email,इमेल,noun,"ईमेल is not correct"
embed,इम्बेड,noun,
enable,"सक्षम गर्नु",verb,
encoded,सङ्केतित,adjective,
encoding,सङ्केतन,noun,
enhanced,परिष्कृत,adjective,
enlarged,विस्तारित,adjective,
error,त्रुटि,noun,
event,कार्यक्रम,noun,"घटना is not correct."
excerpt,पाठांश,noun,"सारांश is summary"
exclusive,असमावेशी,noun,"Eg, exclusive policy - असमावेशी नीति"
exist,"अस्तित्वमा हुनु, अवस्थित हुनु",verb,
existing,विद्यमान,adjective,"Eg, विद्यमान प्रयोगकर्ता"
expected,अपेक्षित,adjective,
exporter,निर्यातक,noun,
featured,विशेष,noun,
"featured image","विशेष तस्बिर",noun,
feed,फिड,noun,
field,फिल्ड,noun,
file,फाइल,noun,"Do not use फाईल"
footer,फुटर,noun,
footnote,फुटनोट,noun,
form,फाराम,noun,"फारम is also correct but use फाराम for consistency."
format,ढाँचा,noun,
formatted,ढाँचाबद्ध,adjective,
forum,"फोरम, मञ्च",noun,
front,अगाडि,noun,
"front page",मुखपृष्ठ,noun,
frontend,फ्रन्टइन्ड,noun,
FTP,एफटीपी,noun,
function,फङ्कसन,noun,
gallery,ग्यालरी,noun,
general,"साधारण, जनरल",adjective,
globally,"सर्वव्यापी, विश्वव्यापी",adjective,
"go to","जानुहोस् ",noun,
GPL,जिपिएल,noun,
Gravatar,ग्राभटार,noun,
gray,खरानी,adjective,
group,समूह,noun,
group,"समूहबद्ध गर्नु",verb,
GUID,जियुआईडी,noun,
handler,ह्यान्डलर,noun,
header,हेडर,noun,
heading,हेडिङ,noun,
health,स्वास्थ्य,noun,
height,उचाइ,noun,
help,सहयोग,noun,
hierarchy,पदानुक्रम,noun,
hint,सङ्केत,noun,"संकेत is also correct but we are using सङ्केत for consistency."
HTML,एचटिएमएल,noun,
HTTP,एचटिटिपी,noun,
HTTPS,एचटिटिपिएस,noun,
icon,आइकन,noun,
id,आईडी,noun,"Same for ID"
identifier,परिचायक,noun,
image,तस्बिर,noun,
importer,आयातक,noun,
inactive,निष्क्रिय,noun,
inclusive,समावेशी,noun,
incompatible,प्रतिकूल,adjective,
index,इन्डेक्स,noun,
indigo,"गाढा निलो",noun,
individual,"व्यक्तिगत, छुट्टाछुट्टै ",adjective,
input,इनपुट,noun,
inserter,इन्सर्टर,noun,
install,"स्थापना गर्नु",verb,
integer,पूर्णाङ्क,noun,
