en,de,pos,description
account,Konto,noun,Einzahl
accounts,Konten,noun,Mehrzahl
"action hook",Action-Hook,noun,Einzahl
"action hooks",Action-Hooks,noun,Mehrzahl
activate,aktivieren,verb,
activate,aktiviere,verb,
activate,aktiviert,adjective,
activated,aktiviert,adjective,
add-on,Add-on,noun,Einzahl
add-ons,Add-ons,noun,Mehrzahl
addon,Add-on,noun,Einzahl
addons,Add-ons,noun,Mehrzahl
"admin bar",Adminleiste,noun,Einzahl
"admin bars",Adminleisten,noun,Mehrzahl
"admin panel",Adminpanel,noun,Einzahl
"admin panels",Adminpanels,noun,Mehrzahl
administrator,Administrator,noun,Einzahl
administrator,Administratoren,noun,Mehrzahl
"After the Deadline","After the Deadline",noun,"Produktname : https://afterthedeadline.com/"
alert,"Warnmeldung/Warnhinweis, -hinweis, -meldung",noun,"Einzelnes Wort: entweder Warnhinweis oder Warnmeldung.
Wortzusammensetzung: z. B. Infohinweis, Fehlermeldung."
Appearance,Design,noun,UI-Menü
appender,Appender,noun,
approve,freigeben,verb,"Im Kontext von Kommentaren"
approve,freigegeben,verb,"Im Kontext von Kommentaren"
approved,freigegeben,adjective,"Im Kontext von Kommentaren"
archive,Archiv,noun,Einzahl
archive,archivieren,verb,
archive,archiviert,verb,
archived,archiviert,verb,
archives,Archive,noun,Mehrzahl
argument,Argument,noun,Einzahl
arguments,Argumente,noun,Mehrzahl
array,Array,noun,Einzahl
arrays,Arrays,noun,Mehrzahl
aside,Kurzmitteilung,noun,"Ein Beitragsformat"
attachment,Anhang,noun,Einzahl
attachments,Anhänge,noun,Mehrzahl
audio,Audio,noun,
author,Autor,noun,"(Einzahl) Autor von z. B. Beiträgen, Seiten, Plugins oder Themes"
authors,Autoren,noun,"(Mehrzahl) Autoren von z. B. Beiträgen, Seiten, Plugins oder Themes"
autosave,"Automatische Speicherung",noun,
backend,Backend,noun,
binary,Binär-,noun,
"black list",Sperrliste,noun,Einzahl
"black lists",Sperrlisten,noun,Mehrzahl
blacklist,Sperrliste,noun,Einzahl
blacklists,Sperrlisten,noun,Mehrzahl
"block editor",Block-Editor,noun,
"block library",Block-Bibliothek,noun,
"block theme",Block-Theme,noun,Einzahl
"block themes",Block-Themes,noun,Mehrzahl
bookmarklet,Bookmarklet,noun,
border,Rand,noun,"(Einzahl) Im Kontext von CSS"
border,Ränder,noun,"(Mehrzahl) Im Kontext von CSS"
"border radius",Eckenradius,noun,"Im Kontext von CSS"
border-radius,Eckenradius,noun,"Im Kontext von CSS"
box,Box,noun,Einzahl
boxes,Boxen,noun,Mehrzahl
browser,Browser,noun,
BuddyPress,BuddyPress,noun,Produktname
"bulk action",Mehrfachaktion,noun,"Je nach Kontext"
"bulk action",Mehrfachauswahl,noun,"Je nach Kontext"
"bulk actions",Mehrfachaktionen,noun,"Je nach Kontext"
"bulk actions",Mehrfachauswahl,noun,"Je nach Kontext"
bundle,Paket,noun,
button,Button,noun,Einzahl
buttons,Buttons,noun,Mehrzahl
capabilities,Berechtigungen,noun,"Im Kontext von Benutzerrollen"
capability,Berechtigung,noun,"Im Kontext von Benutzerrollen"
caption,Untertitel,noun,"Einzahl + Mehrzahl"
cart,Warenkorb,noun,
carts,Warenkörbe,noun,
categories,Kategorien,noun,Mehrzahl
category,Kategorie,noun,Einzahl
"character code",Zeichencode,noun,Einzahl
"character codes",Zeichencodes,noun,Mehrzahl
"character entity reference",Zeichenreferenz,noun,Einzahl
"character entity references",Zeichenreferenzen,noun,Mehrzahl
"character set",Zeichensatz,noun,Einzahl
"character sets",Zeichensätze,noun,Mehrzahl
checklist,Checkliste,noun,Einzahl
checklists,Checklisten,noun,Mehrzahl
"classic editor","klassischer Editor",noun,"Wenn nicht der Plugin-Name gemeint ist"
"classic editor","Classic Editor",noun,"Wenn das Plugin „Classic Editor“ gemeint ist"
"color picker",Farbwähler,noun,
"color scheme",Farbschema,noun,Einzahl
"color schemes",Farbschemen,noun,Mehrzahl
comment,kommentieren,verb,
comment,kommentiere,verb,
comment,kommentiert,verb,
comment,Kommentar,noun,Einzahl
commented,kommentiert,verb,
comments,Kommentare,noun,Mehrzahl
computer,Computer,noun,
"conditional tag","Conditional Tag",noun,Einzahl
"conditional tags","Conditional Tags",noun,Mehrzahl
constant,Konstante,noun,Einzahl
constants,Konstanten,noun,Mehrzahl
container,Container,noun,
contributors,Mitwirkende,noun,
cookie,Cookie,noun,"(Einzahl) Browser-Cookie"
cookies,Cookies,noun,"(Mehrzahl) Browser-Cookies"
create,erstellen,verb,
create,erstelle,verb,
create,erstellt,verb,
created,erstellt,verb,
"CSS Grid","CSS Grid",noun,"Wenn CSS Grid (https://www.w3.org/TR/css-grid/) gemeint ist"
custom,individuell,adjective,
custom,individuelle,adjective,
custom,individueller,adjective,
custom,individuelles,adjective,
"Custom Post Type","Individueller Inhaltstyp",noun,Einzahl
"Custom Post Types","Individuelle Inhaltstypen",noun,Mehrzahl
customization,Anpassung,noun,
customize,anpassen,verb,
Customizer,Customizer,noun,"Siehe:
https://de.wordpress.org/team/2014/08/27/begriffsklarung-customizer/"
