en,hi,pos,description
"aspect ratio","स्वरूप अनुपात",noun,
attachment,संलग्नित,adjective,
attachment,संलग्न,noun,
author,लेखक,noun,
Avatar,अवतार,noun,
bug,त्रुटि,verb,
bug,त्रुटि,noun,
"bug report","बग रिपोर्ट",noun,"bug report is a specific name more like a proper noun (व्यक्तिवाचक संज्ञा) than a common noun (जातिवाचक संज्ञा), so even though it translates to त्रुटि विवरण or त्रुटि रिपोर्ट, we won't translate it."
comment," टिप्पणी",noun,
customized,कस्टमाइज,adjective,
"development version","विकास संस्करण",noun,
Document,दस्तावेज़,noun,
documentation,दस्तावेज़ीकरण,verb,"when we talk about documentation as a process"
documentation,दस्तावेज़,noun,"when we talk about documentation as the body of documents"
Download,डाउनलोड,noun,
edit,सम्पादित,verb,
edit,संपादन,noun,
editor,संपादक,noun,
error,त्रुटि,noun,
Event,कार्यक्रम,noun,
Excerpt,अंश,noun,
Feature,विशेषता,noun,
Featured,"विशेष रुप से प्रदर्शित",adjective,
format,"प्रारूप (फॉर्मेट)",noun,
Home,मुखपृष्ठ,noun,"When used in context of the Homepage of the website."
image,चित्र,noun,
install,स्थापित,verb,"स्थापित करना, स्थापित करें, स्थापित हो रहा आदि।"
Media,मीडिया,noun,
Object,"ऑब्जेक्ट (Object)",noun,
Parent,"पेरेंट (Parent)",noun,"Parent makes more sense than अभिभावक, पैत्रिक "
password,पासवर्ड,noun,
Plugin,प्लगइन,noun,
Post,"पोस्ट ",noun,
"Press This","प्रेस दिस",noun,"यह एक नाम है, बिलकुल वर्डप्रेस की तरह। इसका अजीब अनुवाद न करें।"
"Privacy Policy","गोपनीयता नीति",noun,
Profile,विवरण,noun,
Resource,रिसोर्स,noun,
REST,"रेस्ट (REST)",noun,
Schedule,"निर्धारित करना",verb,
scroll,स्क्रॉल,verb,
Set,"निर्धारित ",verb,
site,साइट,noun,
Source,सोर्स,noun,"जब Source in terms of source code की बात हो रही हो"
Style,स्टाइल,noun,
"support forum","सहायता केंद्र",noun,"will go well for the future when it will be literally called a HelpHub"
Tag,टैग,noun,
team,टीम,noun,
Term,टर्म,noun,
Text," टेक्स्ट",noun,
theme,थीम,noun,
Tiktok,टिकटॉक,noun,
Title,शीर्षक,noun,
update,अपडेट,verb,"Makes more sense than ""अद्यतन"" and consistent with WordPress core."
upload,अपलोड,noun,
URL,यूआरएल,noun,
user,उपयोगकर्ता,noun,
username,"उपयोगकर्ता नाम",noun,
"version ",संस्करण,noun,
Video,वीडियो,noun,
WordPress,वर्डप्रेस,noun,
